Node Name	name	type	label	abv	Node Component Identifier	Node Degree	Node In Degree	Node Multiplicity	Node Out Degree	Node PageRank	Weighted Louvain Cluster
n0	Aedesaegypti	Mosquito	Aedes aegypti	Aea	Component 1	5	1	1	4	0.4014851450920105	Cluster 1
n1	Aedesscapularis	Mosquito	Aedes scapularis	Aes	Component 1	4	1	1	3	0.5088173747062683	Cluster 4
n2	Alouattaseniculus	Host	Alouatta seniculus	As	Component 1	1	1	1	0	0.16745176911354065	Cluster 2
n3	Ardeaalba	Host	Ardea alba	Aa	Component 1	1	1	1	0	0.47183963656425476	Cluster 4
n4	Artibeusjamaicenses	Host	Artibeus jamaicenses	Aj	Component 1	2	2	1	0	0.17443613708019257	Cluster 4
n5	Bostaurus	Host	Bos taurus	Bt	Component 1	1	1	1	0	0.17732854187488556	Cluster 1
n6	Bradypusvariegatus	Host	Bradypus variegatus	Brv	Component 1	1	1	1	0	0.16745176911354065	Cluster 2
n7	Bubulcusibis	Host	Bubulcus ibis	Bi	Component 1	1	1	1	0	0.2293694019317627	Cluster 2
n8	Bufomarinus	Host	Bufo marinus	Bm	Component 1	1	1	1	0	0.1689661592245102	Cluster 2
n9	Buteogallusanthracinus	Host	Buteogallus anthracinus	Bua	Component 1	1	1	1	0	0.11358647048473358	Cluster 3
n10	Calidrisalba	Host	Calidris alba	Ca	Component 1	1	1	1	0	0.17300501465797424	Cluster 3
n11	Canisfamiliaris	Host	Canis familiaris	Cf	Component 1	1	1	1	0	0.23719348013401031	Cluster 1
n12	Chloroceryleamericana	Host	Chloroceryle americana	Cha	Component 1	1	1	1	0	0.11358647048473358	Cluster 3
n13	Chondrohieraxuncinatus	Host	Chondrohierax uncinatus	Chu	Component 1	1	1	1	0	0.2293694019317627	Cluster 2
n14	Columbasp	Host	Columba sp	Cs	Component 1	1	1	1	0	0.11457117646932602	Cluster 1
n15	Culex_spp	Mosquito	Culex_spp	Culex_spp	Component 1	1	1	1	0	0.18589751422405243	Cluster 4
