Node Name	name	type	label	abv	Node Component Identifier	Node Degree	Node In Degree	Node Multiplicity	Node Out Degree	Node PageRank	Weighted Louvain Cluster
n0	Culexerraticus	Mosquito	Culex erraticus	Ce	Component 1	11	2	1	9	0.960383951663971	Cluster 1
n1	Deinoceritesatlanticus	Mosquito	Deinocerites atlanticus	Da	Component 1	7	0	1	7	1	Cluster 2
n2	Haemagoguslucifer	Mosquito	Haemagogus lucifer	Hl	Component 1	5	1	1	4	0.5652927160263062	Cluster 4
n3	Mansoniatitillans	Mosquito	Mansonia titillans	Mt	Component 1	5	2	1	3	0.6724324822425842	Cluster 3
n4	Alouattaseniculus	Host	Alouatta seniculus	As	Component 1	1	1	1	0	0.12334390729665756	Cluster 4
n5	Ardeaalba	Host	Ardea alba	Aa	Component 1	3	3	1	0	0.3331603407859802	Cluster 1
n6	Bradypusvariegatus	Host	Bradypus variegatus	Brv	Component 1	1	1	1	0	0.1905871033668518	Cluster 3
n7	Bubulcusibis	Host	Bubulcus ibis	Bi	Component 1	1	1	1	0	0.18506082892417908	Cluster 1
n8	Bufomarinus	Host	Bufo marinus	Bm	Component 1	1	1	1	0	0.12069879472255707	Cluster 2
n9	Buteogallusanthracinus	Host	Buteogallus anthracinus	Bua	Component 1	1	1	1	0	0.12069879472255707	Cluster 2
n10	Calidrisalba	Host	Calidris alba	Ca	Component 1	1	1	1	0	0.19054484367370605	Cluster 1
n11	Chloroceryleamericana	Host	Chloroceryle americana	Cha	Component 1	1	1	1	0	0.12069879472255707	Cluster 2
n12	Chondrohieraxuncinatus	Host	Chondrohierax uncinatus	Chu	Component 1	1	1	1	0	0.18506082892417908	Cluster 1
n13	Dendrocygnaautumnalis	Host	Dendrocygna atumnalis	Dea	Component 1	1	1	1	0	0.19054484367370605	Cluster 1
n14	Didelphismarsupialis	Host	Didelphis marsupialis	Dm	Component 1	1	1	1	0	0.11521478742361069	Cluster 3
n15	Egrettathula	Host	Egretta thula	Et	Component 1	1	1	1	0	0.12069879472255707	Cluster 2
n16	Homosapiens	Host	Homo sapiens	Hs	Component 1	1	1	1	0	0.1960711032152176	Cluster 4
n17	Iguanaiguana	Host	Iguana iguana	Lgi	Component 1	1	1	1	0	0.12069879472255707	Cluster 2
n18	Oligoryzomyssp	Host	Oligoryzomys sp	Os	Component 1	1	1	1	0	0.11521478742361069	Cluster 3
n19	Passerdomesticus	Host	Passer domesticus	Pd	Component 1	1	1	1	0	0.11781764030456543	Cluster 1
n20	Pelecanussp	Host	Pelecanus sp	Ps	Component 1	1	1	1	0	0.11781764030456543	Cluster 1
n21	Phalacrocoraxcarbo	Host	Phalacrocorax carbo	Phc	Component 1	1	1	1	0	0.11781764030456543	Cluster 1
n22	Pluvialissp	Host	Pluvialis sp	Plsp	Component 1	1	1	1	0	0.11781764030456543	Cluster 1
n23	Rhinellaamericana	Host	Rhinella americana	Rha	Component 1	1	1	1	0	0.12069879472255707	Cluster 2
n24	Wilsoniacitrina	Host	Wilsonia citrina	Wc	Component 1	1	1	1	0	0.12334390729665756	Cluster 4
n25	SLEV	Virus	SLEV	SLEV	Component 1	2	0	1	2	0.18506082892417908	Cluster 3
n26	VEEV	Virus	VEEV	VEEV	Component 1	1	0	1	1	0.18794198334217072	Cluster 3
n27	WNV	Virus	WNV	WNV	Component 1	1	0	1	1	0.11781764030456543	Cluster 1
n28	YFV	Virus	YFV	YFV	Component 1	1	0	1	1	0.12334390729665756	Cluster 4
