Node Name	name	type	label	abv	Node Component Identifier	Node Degree	Node In Degree	Node Multiplicity	Node Out Degree	Node PageRank	Weighted Louvain Cluster
n0	Aedesscapularis	Mosquito	Aedes scapularis	Aes	Component 1	7	1	1	6	1	Cluster 1
n1	Psorophoraconfinnis	Mosquito	Psorophora confinnis	Pc	Component 1	5	1	1	4	0.7353975772857666	Cluster 2
n2	Ardeaalba	Host	Ardea alba	Aa	Component 1	1	1	1	0	0.1721324473619461	Cluster 1
n3	Artibeusjamaicenses	Host	Artibeus jamaicenses	Aj	Component 1	1	1	1	0	0.1721324473619461	Cluster 1
n4	Bostaurus	Host	Bos taurus	Bt	Component 1	1	1	1	0	0.17551034688949585	Cluster 2
n5	Canisfamiliaris	Host	Canis familiaris	Cf	Component 1	1	1	1	0	0.1721324473619461	Cluster 1
n6	Equusasinus	Host	Equus asinus	Ea	Component 1	1	1	1	0	0.17551034688949585	Cluster 2
n7	Equuscaballus	Host	Equus caballus	Ec	Component 1	1	1	1	0	0.17551034688949585	Cluster 2
n8	Homosapiens	Host	Homo sapiens	Hs	Component 1	1	1	1	0	0.1721324473619461	Cluster 1
n9	Musmusculus	Host	Mus musculus	Mm	Component 1	1	1	1	0	0.1721324473619461	Cluster 1
n10	Ovisaries	Host	Ovis aries	Oa	Component 1	1	1	1	0	0.1721324473619461	Cluster 1
n11	Rattusrattus	Host	Rattus rattus	Rr	Component 1	1	1	1	0	0.17551034688949585	Cluster 2
n12	VEEV	Virus	VEEV	VEEV	Component 1	2	0	1	2	0.2897961735725403	Cluster 2
